experiment,fold,model,rank,feature,importance,importance_share
baseline_current,C,Revenue,1,order_count_lag_90,1869.0,0.09584615384615384
baseline_current,C,Revenue,2,AOV_lag_730,1793.0,0.09194871794871795
baseline_current,C,Revenue,3,Revenue_seasonal_base,1701.0,0.08723076923076924
baseline_current,C,Revenue,4,AOV_lag_1,1685.0,0.08641025641025642
baseline_current,C,Revenue,5,Revenue_lag_364,1641.0,0.08415384615384615
baseline_current,C,Revenue,6,order_count_rolling_std_7,1640.0,0.0841025641025641
baseline_current,C,Revenue,7,Revenue_lag_365,1622.0,0.08317948717948719
baseline_current,C,Revenue,8,AOV_lag_364,1611.0,0.08261538461538462
baseline_current,C,Revenue,9,Revenue_lag_1,1591.0,0.0815897435897436
baseline_current,C,Revenue,10,order_count_seasonal_base,1538.0,0.07887179487179487
baseline_current,C,Revenue,11,Revenue_lag_7,1412.0,0.0724102564102564
baseline_current,C,Revenue,12,order_count_lag_7,1397.0,0.07164102564102565
baseline_current,C,COGS,1,COGS_seasonal_base,2222.0,0.11394871794871794
baseline_current,C,COGS,2,COGS_lag_1,1794.0,0.092
baseline_current,C,COGS,3,COGS_lag_90,1707.0,0.08753846153846154
baseline_current,C,COGS,4,COGS_lag_365,1665.0,0.08538461538461538
baseline_current,C,COGS,5,COGS_lag_366,1635.0,0.08384615384615385
baseline_current,C,COGS,6,time_index,1577.0,0.08087179487179487
baseline_current,C,COGS,7,COGS_lag_7,1566.0,0.0803076923076923
baseline_current,C,COGS,8,COGS_rolling_std_7,1535.0,0.07871794871794872
baseline_current,C,COGS,9,COGS_lag_730,1520.0,0.07794871794871795
baseline_current,C,COGS,10,COGS_lag_364,1484.0,0.07610256410256411
baseline_current,C,COGS,11,COGS_lag_30,1459.0,0.07482051282051282
baseline_current,C,COGS,12,COGS_lag_14,1336.0,0.06851282051282051
baseline_current,C,order_count,1,order_count_seasonal_base,1923.0,0.09861538461538462
baseline_current,C,order_count,2,year_cos_3,1855.0,0.09512820512820513
baseline_current,C,order_count,3,order_count_lag_90,1712.0,0.08779487179487179
baseline_current,C,order_count,4,order_count_lag_364,1703.0,0.08733333333333333
baseline_current,C,order_count,5,order_count_lag_7,1670.0,0.08564102564102564
baseline_current,C,order_count,6,order_count_lag_1,1663.0,0.08528205128205128
baseline_current,C,order_count,7,order_count_lag_730,1627.0,0.08343589743589744
baseline_current,C,order_count,8,order_count_lag_365,1554.0,0.07969230769230769
baseline_current,C,order_count,9,order_count_lag_366,1545.0,0.07923076923076923
baseline_current,C,order_count,10,order_count_lag_30,1491.0,0.07646153846153846
baseline_current,C,order_count,11,order_count_rolling_std_7,1379.0,0.07071794871794872
baseline_current,C,order_count,12,order_count_lag_14,1378.0,0.07066666666666667
baseline_current,C,AOV,1,AOV_seasonal_base,2152.0,0.11035897435897436
baseline_current,C,AOV,2,AOV_lag_90,1707.0,0.08753846153846154
baseline_current,C,AOV,3,AOV_lag_1,1684.0,0.08635897435897436
baseline_current,C,AOV,4,AOV_lag_14,1636.0,0.0838974358974359
baseline_current,C,AOV,5,AOV_lag_7,1621.0,0.08312820512820512
baseline_current,C,AOV,6,AOV_rolling_std_7,1595.0,0.0817948717948718
baseline_current,C,AOV,7,AOV_lag_366,1569.0,0.08046153846153846
baseline_current,C,AOV,8,AOV_lag_365,1556.0,0.0797948717948718
baseline_current,C,AOV,9,AOV_lag_730,1541.0,0.07902564102564102
baseline_current,C,AOV,10,AOV_lag_30,1537.0,0.07882051282051282
baseline_current,C,AOV,11,AOV_lag_364,1505.0,0.07717948717948718
baseline_current,C,AOV,12,AOV_rolling_mean_7,1397.0,0.07164102564102565
baseline_current,C,cogs_ratio,1,cogs_ratio_seasonal_base,2425.0,0.12779973649538867
baseline_current,C,cogs_ratio,2,cogs_ratio_lag_1,1911.0,0.10071146245059288
baseline_current,C,cogs_ratio,3,cogs_ratio_lag_30,1801.0,0.09491436100131752
baseline_current,C,cogs_ratio,4,cogs_ratio_lag_730,1736.0,0.09148880105401845
baseline_current,C,cogs_ratio,5,cogs_ratio_rolling_mean_7,1713.0,0.09027667984189723
baseline_current,C,cogs_ratio,6,cogs_ratio_lag_90,1573.0,0.08289855072463768
baseline_current,C,cogs_ratio,7,cogs_ratio_rolling_std_7,1519.0,0.08005270092226614
baseline_current,C,cogs_ratio,8,time_index,1476.0,0.07778656126482214
baseline_current,C,cogs_ratio,9,cogs_ratio_lag_364,1269.0,0.06687747035573123
baseline_current,C,cogs_ratio,10,cogs_ratio_lag_366,1239.0,0.06529644268774704
baseline_current,C,cogs_ratio,11,cogs_ratio_lag_365,1180.0,0.062187088274044795
baseline_current,C,cogs_ratio,12,cogs_ratio_yoy_lag_mean,1133.0,0.059710144927536235
baseline_current,D,Revenue,1,Revenue_lag_1,1888.0,0.09682051282051282
baseline_current,D,Revenue,2,order_count_lag_90,1886.0,0.09671794871794871
baseline_current,D,Revenue,3,AOV_lag_730,1724.0,0.0884102564102564
baseline_current,D,Revenue,4,AOV_lag_1,1677.0,0.086
baseline_current,D,Revenue,5,AOV_lag_364,1634.0,0.0837948717948718
baseline_current,D,Revenue,6,order_count_rolling_std_7,1596.0,0.08184615384615385
baseline_current,D,Revenue,7,order_count_seasonal_base,1582.0,0.08112820512820512
baseline_current,D,Revenue,8,Revenue_lag_365,1577.0,0.08087179487179487
baseline_current,D,Revenue,9,Revenue_lag_7,1533.0,0.07861538461538461
baseline_current,D,Revenue,10,Revenue_seasonal_base,1531.0,0.07851282051282052
baseline_current,D,Revenue,11,Revenue_lag_364,1467.0,0.07523076923076923
baseline_current,D,Revenue,12,order_count_lag_7,1405.0,0.07205128205128206
baseline_current,D,COGS,1,COGS_seasonal_base,2421.0,0.12415384615384616
baseline_current,D,COGS,2,COGS_lag_1,1867.0,0.09574358974358975
baseline_current,D,COGS,3,COGS_lag_365,1742.0,0.08933333333333333
baseline_current,D,COGS,4,time_index,1709.0,0.08764102564102565
baseline_current,D,COGS,5,COGS_lag_90,1706.0,0.08748717948717949
baseline_current,D,COGS,6,COGS_lag_730,1544.0,0.07917948717948718
baseline_current,D,COGS,7,COGS_lag_364,1484.0,0.07610256410256411
baseline_current,D,COGS,8,COGS_lag_366,1482.0,0.076
baseline_current,D,COGS,9,COGS_lag_30,1455.0,0.07461538461538461
baseline_current,D,COGS,10,COGS_rolling_std_7,1445.0,0.0741025641025641
baseline_current,D,COGS,11,COGS_lag_7,1430.0,0.07333333333333333
baseline_current,D,COGS,12,COGS_lag_14,1215.0,0.06230769230769231
baseline_current,D,order_count,1,order_count_seasonal_base,2004.0,0.10276923076923077
