model,feature,mean_importance,mean_importance_share,folds_seen
AOV,AOV_seasonal_base,2101.0,0.10774358974358975,2
AOV,AOV_rolling_std_7,1676.5,0.08597435897435898,2
AOV,AOV_lag_90,1663.0,0.08528205128205128,2
AOV,AOV_lag_30,1631.0,0.08364102564102564,2
AOV,AOV_lag_14,1618.0,0.08297435897435898,2
AOV,AOV_lag_1,1596.0,0.08184615384615385,2
AOV,AOV_lag_730,1586.0,0.08133333333333334,2
AOV,AOV_lag_7,1580.0,0.08102564102564103,2
AOV,AOV_lag_366,1574.0,0.08071794871794871,2
AOV,AOV_lag_364,1536.5,0.0787948717948718,2
AOV,AOV_lag_365,1524.0,0.07815384615384616,2
AOV,AOV_rolling_mean_7,1414.0,0.07251282051282051,2
COGS,COGS_seasonal_base,2321.5,0.11905128205128204,2
COGS,COGS_lag_1,1830.5,0.09387179487179487,2
COGS,COGS_lag_90,1706.5,0.08751282051282051,2
COGS,COGS_lag_365,1703.5,0.08735897435897436,2
COGS,time_index,1643.0,0.08425641025641026,2
COGS,COGS_lag_366,1558.5,0.07992307692307693,2
COGS,COGS_lag_730,1532.0,0.07856410256410257,2
COGS,COGS_lag_7,1498.0,0.07682051282051282,2
COGS,COGS_rolling_std_7,1490.0,0.07641025641025642,2
COGS,COGS_lag_364,1484.0,0.07610256410256411,2
COGS,COGS_lag_30,1457.0,0.0747179487179487,2
COGS,COGS_lag_14,1275.5,0.06541025641025641,2
Revenue,order_count_lag_90,1877.5,0.09628205128205128,2
Revenue,AOV_lag_730,1758.5,0.09017948717948718,2
Revenue,Revenue_lag_1,1739.5,0.08920512820512821,2
Revenue,AOV_lag_1,1681.0,0.08620512820512821,2
Revenue,AOV_lag_364,1622.5,0.08320512820512821,2
Revenue,order_count_rolling_std_7,1618.0,0.08297435897435898,2
Revenue,Revenue_seasonal_base,1616.0,0.08287179487179488,2
Revenue,Revenue_lag_365,1599.5,0.08202564102564103,2
Revenue,order_count_seasonal_base,1560.0,0.07999999999999999,2
Revenue,Revenue_lag_364,1554.0,0.07969230769230769,2
Revenue,Revenue_lag_7,1472.5,0.07551282051282052,2
Revenue,order_count_lag_7,1401.0,0.07184615384615385,2
cogs_ratio,cogs_ratio_seasonal_base,2450.5,0.12823160801073735,2
cogs_ratio,cogs_ratio_lag_1,1954.5,0.10226801557366477,2
cogs_ratio,cogs_ratio_rolling_mean_7,1727.5,0.09039920044890538,2
cogs_ratio,cogs_ratio_lag_730,1696.5,0.08879678048959497,2
cogs_ratio,cogs_ratio_lag_30,1694.5,0.0887167938866492,2
cogs_ratio,cogs_ratio_rolling_std_7,1562.0,0.08172765996019771,2
cogs_ratio,time_index,1541.0,0.0806205722557742,2
cogs_ratio,cogs_ratio_lag_90,1526.5,0.07990281932407316,2
cogs_ratio,cogs_ratio_lag_365,1287.0,0.06731262540910721,2
cogs_ratio,cogs_ratio_lag_364,1286.5,0.06731942526308698,2
cogs_ratio,cogs_ratio_lag_366,1236.5,0.0647101627282011,2
cogs_ratio,cogs_ratio_yoy_lag_mean,1146.5,0.05999433665000799,2
order_count,order_count_seasonal_base,1963.5,0.10069230769230769,2
order_count,year_cos_3,1872.5,0.09602564102564103,2
order_count,order_count_lag_1,1693.0,0.08682051282051281,2
order_count,order_count_lag_90,1692.5,0.08679487179487179,2
order_count,order_count_lag_730,1671.0,0.08569230769230769,2
order_count,order_count_lag_7,1657.0,0.08497435897435898,2
order_count,order_count_lag_364,1582.5,0.08115384615384616,2
order_count,order_count_lag_366,1579.5,0.081,2
order_count,order_count_lag_365,1501.5,0.077,2
order_count,order_count_lag_30,1499.5,0.07689743589743589,2
order_count,order_count_rolling_std_7,1417.5,0.0726923076923077,2
order_count,order_count_lag_14,1370.0,0.07025641025641026,2
