experiment,fold,target,MAE,RMSE,R2
baseline_current,C,Revenue,763120.1262340037,1051232.0665012174,0.6449242235229834
baseline_current,C,COGS,614720.8830895796,851313.6330870391,0.6958120392681681
hand_picked_importance,C,Revenue,790312.6866727604,1091708.3220468054,0.6170543970457163
hand_picked_importance,C,COGS,618267.157678245,858629.4102758894,0.690561487322732
top_10,C,Revenue,772271.9329798904,1051146.3280250116,0.644982141114143
top_10,C,COGS,610319.4946800731,840483.6956083926,0.7035022303149863
top_8,C,Revenue,776329.7864899453,1083505.1510774638,0.6227877343518087
top_8,C,COGS,627484.3863985376,873316.6797898243,0.6798847568648909
top_6,C,Revenue,779503.3481718465,1075700.9093856225,0.6282021132777005
top_6,C,COGS,680763.3156489944,933115.0615631281,0.6345455590336316
remove_low_importance,C,Revenue,772271.9329798904,1051146.3280250116,0.644982141114143
remove_low_importance,C,COGS,609171.5223765996,840992.9898796614,0.7031427935591217
remove_redundant_obvious,C,Revenue,772788.9778427788,1065525.487405908,0.6352027712932796
remove_redundant_obvious,C,COGS,610957.8666361974,851097.1836901741,0.6959667012585031
baseline_current,D,Revenue,683628.8723013699,918167.923628688,0.6990932270693878
baseline_current,D,COGS,553229.8417808219,751816.2232851108,0.7343129475538466
hand_picked_importance,D,Revenue,694705.5890136986,919179.8110909776,0.6984296195427323
hand_picked_importance,D,COGS,552061.9867945205,752078.5102449233,0.7341275341433653
top_10,D,Revenue,703220.8544931506,931614.548242469,0.6902150935764164
top_10,D,COGS,544521.4244931507,742627.7595350211,0.740767550795301
top_8,D,Revenue,704342.5995890412,942541.0143759468,0.6829058389664955
top_8,D,COGS,549992.0422465754,752278.5756192316,0.7339860623458437
top_6,D,Revenue,1627310.4057534246,2268689.426144203,-0.837121263416218
top_6,D,COGS,731868.877780822,1014074.6091526999,0.5166220647684487
remove_low_importance,D,Revenue,713302.0094246576,956826.42470902,0.6732210661360734
remove_low_importance,D,COGS,550896.7339726028,750309.9551934219,0.7353764921267845
remove_redundant_obvious,D,Revenue,780042.4773972603,1073346.943768989,0.5887859184941882
remove_redundant_obvious,D,COGS,660848.2396438356,918599.720485651,0.6033571567838169
