experiment,target,MAE,RMSE,R2,MAE_delta_vs_baseline,MAE_pct_delta_vs_baseline,status_vs_baseline
baseline_current,COGS,583975.3624352007,801564.928186075,0.7150624934110074,0.0,0.0,baseline
baseline_current,Revenue,723374.4992676869,984699.9950649526,0.6720087252961856,0.0,0.0,baseline
hand_picked_importance,COGS,585164.5722363828,805353.9602604064,0.7123445107330486,1189.2098011820344,0.0020364040637313565,stays similar
hand_picked_importance,Revenue,742509.1378432296,1005444.0665688915,0.6577420082942242,19134.638575542718,0.026451911969406997,gets worse
remove_low_importance,COGS,580034.1281746011,795651.4725365416,0.7192596428429531,-3941.2342605995946,-0.006748973525466022,stays similar
remove_low_importance,Revenue,742786.971202274,1003986.3763670158,0.6591016036251082,19412.471934587113,0.026835991528923762,gets worse
remove_redundant_obvious,COGS,635903.0531400165,884848.4520879126,0.64966192902116,51927.69070481579,0.08892102996995495,gets worse
remove_redundant_obvious,Revenue,776415.7276200196,1069436.2155874486,0.6119943448937339,53041.22835233272,0.0733247141087077,gets worse
top_10,COGS,577420.459586612,791555.7275717069,0.7221348905551437,-6554.902848588768,-0.011224622253333703,improves
top_10,Revenue,737746.3937365205,991380.4381337403,0.6675986173452797,14371.894468833692,0.01986784782071137,gets worse
top_6,COGS,706316.0967149083,973594.835357914,0.5755838119010401,122340.73427970754,0.20949639685061672,gets worse
top_6,Revenue,1203406.8769626357,1672195.1677649128,-0.10445957506925874,480032.3776949488,0.6636014653280049,gets worse
top_8,COGS,588738.2143225565,812797.6277045279,0.7069354096053673,4762.851887355791,0.008155912378725205,stays similar
top_8,Revenue,740336.1930394932,1013023.0827267054,0.6528467866591521,16961.693771806313,0.023448011768423687,gets worse
