strategy,fold,horizon_bucket,Revenue_MAE,rows
current,C,days_1_30,298067.50399999996,30
current,C,days_31_90,761724.8773333334,60
current,C,days_91_180,733288.5987777777,90
current,C,days_181_365,520740.5108648648,185
current,C,days_366_plus,1101363.8620329672,182
current,D,days_1_30,624626.3093333333,30
current,D,days_31_90,1009322.4411666668,60
current,D,days_91_180,706888.21,90
current,D,days_181_365,576251.1553513514,185
scaled_best,C,days_1_30,278377.2781,30
scaled_best,C,days_31_90,714001.9632166666,60
scaled_best,C,days_91_180,755276.7741555556,90
scaled_best,C,days_181_365,547719.4439702702,185
scaled_best,C,days_366_plus,1057420.406728022,182
scaled_best,D,days_1_30,573015.8210833332,30
scaled_best,D,days_31_90,902625.8669833331,60
scaled_best,D,days_91_180,701089.2145055556,90
scaled_best,D,days_181_365,562195.6356648649,185
horizon_scaled_best,C,days_1_30,278377.2781,30
horizon_scaled_best,C,days_31_90,714001.9632166666,60
horizon_scaled_best,C,days_91_180,755276.7741555556,90
horizon_scaled_best,C,days_181_365,547719.4439702702,185
horizon_scaled_best,C,days_366_plus,1101363.8620329672,182
horizon_scaled_best,D,days_1_30,573015.8210833332,30
horizon_scaled_best,D,days_31_90,902625.8669833331,60
horizon_scaled_best,D,days_91_180,701089.2145055556,90
horizon_scaled_best,D,days_181_365,562195.6356648649,185
recent_level_best,C,days_1_30,266048.0078772559,30
recent_level_best,C,days_31_90,659399.8341000389,60
recent_level_best,C,days_91_180,879676.3253161046,90
recent_level_best,C,days_181_365,642450.7642842082,185
recent_level_best,C,days_366_plus,1028395.5732066815,182
recent_level_best,D,days_1_30,421100.34652755834,30
recent_level_best,D,days_31_90,688783.0092759413,60
recent_level_best,D,days_91_180,1143320.4929289455,90
recent_level_best,D,days_181_365,702680.3749482931,185
ensemble_scaled_best,C,days_1_30,278377.2781,30
ensemble_scaled_best,C,days_31_90,714001.9632166666,60
ensemble_scaled_best,C,days_91_180,755276.7741555556,90
ensemble_scaled_best,C,days_181_365,547719.4439702702,185
ensemble_scaled_best,C,days_366_plus,1057420.406728022,182
ensemble_scaled_best,D,days_1_30,573015.8210833332,30
ensemble_scaled_best,D,days_31_90,902625.8669833331,60
ensemble_scaled_best,D,days_91_180,701089.2145055556,90
ensemble_scaled_best,D,days_181_365,562195.6356648649,185
