strategy,fold,MAE,RMSE,R2,bias,pred_actual_mean_ratio,scale,year1_scale,year2_scale,window,fold_multiplier,w
current,C,763120.1262340037,1051232.0665012174,0.6449242235229834,-319672.10265082266,0.8995423439240632,,,,,,
current,D,683628.8723013699,918167.923628688,0.6990932270693878,-350384.86742465757,0.8906684297130439,,,,,,
direct,C,763120.1262340037,1051232.0665012174,0.6449242235229834,-319672.10265082266,0.8995423439240632,,,,,,
direct,D,683628.8723013699,918167.923628688,0.6990932270693878,-350384.86742465757,0.8906684297130439,,,,,,
component,C,984030.925191956,1329234.7901667564,0.4322890845378662,99529.88186471668,1.0312774826415354,,,,,,
component,D,736439.6315068493,1007105.6190114199,0.6379756618971549,-382430.8988493151,0.8806690168877273,,,,,,
global_scale,C,1223206.5644460695,1555956.6065027227,0.22210889174323034,-1178417.7784058503,0.6296796407468442,0.7,,,,,
global_scale,D,1234827.5236328768,1518524.51317029,0.176940287629904,-1206706.8031068495,0.6234679007991307,0.7,,,,,
global_scale,C,1162176.1391563073,1495077.1647900422,0.28179063792279435,-1106855.638759598,0.6521681993449457,0.725,,,,,
global_scale,D,1172415.1353767123,1453200.8017920402,0.24622975855677987,-1135346.6418,0.6457346115419569,0.725,,,,,
global_scale,C,1103847.0395429616,1436434.5771170205,0.3370274504300096,-1035293.4991133455,0.6746567579430475,0.75,,,,,
global_scale,D,1111744.4841643835,1389531.872528644,0.310832552033913,-1063986.4804931507,0.6680013222847828,0.75,,,,,
global_scale,C,1049523.435108775,1380313.970914457,0.38781932926487617,-963731.3594670933,0.697145316541149,0.775,,,,,
global_scale,D,1051984.9693164383,1327755.7984926528,0.37074866806130313,-992626.3191863013,0.6902680330276091,0.775,,,,,
global_scale,C,999404.0269798901,1327035.350158194,0.434166274427394,-892169.2198208409,0.7196338751392506,0.8,,,,,
global_scale,D,995161.6679506848,1268149.2330568722,0.42597810663895064,-921266.1578794519,0.7125347437704352,0.8,,,,,
global_scale,C,952807.6020840951,1276954.4945458653,0.4760682859175629,-820607.0801745887,0.7421224337373521,0.825,,,,,
global_scale,D,942082.71180274,1211032.5657836683,0.476520867766855,-849905.9965726028,0.7348014545132612,0.825,,,,,
global_scale,C,911690.7476489944,1230461.9214001917,0.5135253637353834,-749044.9405283364,0.7646109923354536,0.85,,,,,
global_scale,D,893573.6624219179,1156774.677579167,0.5223769514450167,-778545.8352657536,0.7570681652560872,0.85,,,,,
global_scale,C,875366.5875731262,1187978.996950021,0.5465375078808552,-677482.8008820842,0.7870995509335554,0.875,,,,,
global_scale,D,848331.901869863,1105796.4619233352,0.5635463576734359,-707185.6739589041,0.7793348759989135,0.875,,,,,
global_scale,C,843521.1101206582,1149950.1957373917,0.5751047183539781,-605920.6612358318,0.8095881095316568,0.9,,,,,
global_scale,D,806561.0378630138,1058571.8477882908,0.6000290864521118,-635825.5126520547,0.8016015867417395,0.9,,,,,
global_scale,C,815990.0144890312,1116830.6077745687,0.5992269951547524,-534358.5215895795,0.8320766681297586,0.925,,,,,
global_scale,D,769126.4726438356,1015624.5762444098,0.6318251377810451,-564465.3513452054,0.8238682974845656,0.925,,,,,
global_scale,C,793504.9519506398,1089068.2065652828,0.618904338283178,-462796.38194332743,0.85456522672786,0.95,,,,,
global_scale,D,735689.3757068494,977518.585003542,0.6589345116602354,-493105.1900383563,0.8461350082273916,0.95,,,,,
global_scale,C,775872.4807577698,1067081.2100979432,0.6341367477392551,-391234.24229707505,0.8770537853259616,0.975,,,,,
global_scale,D,707319.6778863015,944839.8115008632,0.681357208089683,-421745.02873150696,0.8684017189702177,0.975,,,,,
global_scale,C,763120.1262340037,1051232.0665012174,0.6449242235229834,-319672.10265082266,0.8995423439240632,1.0,,,,,
global_scale,D,683628.8723013699,918167.923628688,0.6990932270693878,-350384.86742465757,0.8906684297130439,1.0,,,,,
global_scale,C,756248.4880776965,1041800.9429062305,0.651266765634363,-248109.9630045706,0.9220309025221647,1.025,,,,,
global_scale,D,665673.0280068493,898038.2975008446,0.7121425685993497,-279024.70611780847,0.9129351404558697,1.025,,,,,
global_scale,C,754926.7951901279,1038962.6316397341,0.6531643740733939,-176547.82335831795,0.9445194611202662,1.05,,,,,
global_scale,D,653293.8316575342,884897.5154162116,0.7205052326795689,-207664.5448109588,0.9352018511986961,1.05,,,,,
horizon_scale,C,1148820.750617002,1494738.4415707346,0.282116034678236,-1086346.4150374772,0.6586132676695714,,0.75,0.7,,,
horizon_scale,D,1111744.4841643835,1389531.872528644,0.310832552033913,-1063986.4804931507,0.6680013222847828,,0.75,0.7,,,
