Year,sessions,orders,revenue,conversion_proxy_pct,conversion_proxy_3p
2013,6801940,76849,1657169417.27,1.129810024787046,
2014,7340960,80645,1871845882.8,1.0985620409319763,1.1141860328595112
2015,7861938,82622,1889933826.92,1.050911365620029,1.093094477113017
2016,8403399,82247,2104640677.54,0.978734914288849,1.0427361069469514
2017,8992602,76010,1911164325.28,0.8452503513443606,0.9582988770844127
2018,9415085,69510,1850122456.08,0.7382832974954554,0.8540895210428884
2019,9990148,41601,1136801441.51,0.4164202572374303,0.6666513020257488
2020,10591082,34881,1054512158.79,0.32934312093891827,0.4946822252239347
2021,10991725,34525,1043039819.63,0.3140999251709809,0.35328776778244314
2022,11063658,36004,1169748831.69,0.3254258220924761,0.3229562894007918
